category,city,hotelname,count,state,ratings,goods and bads,comment,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,4,"Clean, well maintained facility. Exceeded my expectations. Great kiddy pools! Price was not too bad. Lake front, many pools, live entertainment. Easy access to all rooms, lots of doors, making it very convenient to get in and out-plus.",best place not too pricey,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,4,"This is a really nice, smallish resort right on the lake. It is geared towards families with smaller children. They do allow pets, so there were quite a few dogs there. Upon check-in they gave us treats for our dog which was nice! The room was clean and the resort has a nice little beach. Lots of things for kids... More",A great placec for families with pets,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,4,"This is my 3rd timing staying here, and I would and do recommend it to everyone who is coming to the Dells. They have a variety of travel packages that you can't beat. I'm going there again in September. The staff is always nice and very eager to help you with anything that you need.",Very nice place to stay!,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,4,"Very helpful staff at check in. Stayed in room 201. Had some fairly stompy people in the building, which you could hear quite a bit. Solved this by running the fan all night wasn't a problem anymore. Easy to get to along a winding Canyon Road. Plenty of restaurants close on Wisconsin Dells Parkway. Nice beach area, pool and patio.",Lake Delton resort,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,4,Employee's are friendly and helpful - rooms are clean and comfortable. The resort is located in a great spot right on Lake Delton. I love sitting on their sandy beach in the morning drinking my cup of coffee.,Spring stay at Baker's Sunset Bay,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,4,We didn't get to take advantage of the outdoor amenities because it was so cold all weekend. The kids definitely want to go again when it is warm. Very friendly and helpful staff! Great location out of the way of the congestion.,Will be returning!,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,4,"Baker's has a quaint feel to it. Was worth a few extra bucks to get the lake view. Loved the outdoor ping pong table too that was unique. Nice to have a pool, sauna, AND hot tub. Only major complaint was the Wi-Fi reception was TERRIBLE. What made it worse was I had to walk halfway up the driveway before... More",Great place to stay,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,4,"The place was clean, we had a suite in bldg 3 facing the beach, up a floor from the picnic tables and grills.....wifi worked well, we all stream movies and shows on our devices (laptops, phones. ipad) and experienced no buffering at anytime day or night....friendly staff, helpful, pleasant.....only issue I have is the air conditioner unit on the floor... More","Good place, Friendly help",,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,5,"I stayed at Baker's for a weekend at the beginning of December. I had a king suite with kitchenette. Full sized refrigerator, two burner stove, fully stocked with everything I needed to do my own cooking. Very nice room, and very clean. The staff are quite welcoming and friendly. They don't have a water park, but do have a nice... More",Fantastic,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,5,"We had a great stay at Baker's Sunset Bay Resort. We loved that we were close enough to the water parks and restaurants but away from all the traffic and craziness of the same. Clean rooms and friendly staff. Wish the beach area was a little bigger, but it's nice they have paddle boats and kayaks you are able to... More",Great place to stay,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,5,Clean and nice rooms. Freindly and knowledgeable staff. There are two pools one inside and outside and both were in great shape and clean. The resort has a nice beach with Kayaks you can use. Very pleasant experience!,Clean and nice rooms,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,5,"My husband and I have been coming back to this hotel yearly since 2004. It's great to see that there are things that have stayed the same at the resort, and many things that have improved. It's clear to see the investments that the resort makes to both keep up and maintain what they have, as well as improve other... More",Been coming here for years,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,5,"Excellent connecting condos for our large group. We did not choose to use the the local amenities, but it was close to the volleyball center which was our purpose of travel. The hotel staff was welcoming and easy to work with when reserving our group rooms.",Very Satisfied,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,5,I went here over 20 years ago when I was a kid for a family reunion and I was pleased to see it look exactly like it did then. Of course it was updated and very clean. The workers were always maintaining the resort. I love how you have 3 different pool areas. The water inside was a little too... More,Back after 20 years,,,,,,,,,,,,,,
"Resorts,Lodging,Hotels,Hotel,Hotels Motels",Wisconsin Dells,Baker's Sunset Bay Resort,15,WI,5,very nice resort to spend a weekend with a family or just someone special rooms are very nice. around the resort very nice volleyball and small sandy beach but also nice fire pit for the evening. and easy to get to the dells from here. its a must place to check out.,Summer or Winter nice place to visit,,,,,,,,,,,,,,
"Hotels,Budget Hotels,Lodging,Hotels Motels,Hotel",Santa Rosa,BEST WESTERN Garden Inn,15,CA,5,"We liked the garden feeling of the one story rooms in the back near the pool. Very lovely and quiet. Nice big trees around. Also, there was a lot of counter space in the bathroom which was handy. We thought of staying somewhere that cost less, read reviews and decided to go ahead and stay here instead. Good idea. You... More",Refreshing,,,,,,,,,,,,,,
"Hotels,Budget Hotels,Lodging,Hotels Motels,Hotel",Santa Rosa,BEST WESTERN Garden Inn,15,CA,5,Excellent bed and very clean hotel.,You'll be happy with this hotel comfort,,,,,,,,,,,,,,
"Hotels,Budget Hotels,Lodging,Hotels Motels,Hotel",Santa Rosa,BEST WESTERN Garden Inn,15,CA,5,Staff was extremely accommodating and always pleasant!,Awesome!,,,,,,,,,,,,,,
"Hotels,Budget Hotels,Lodging,Hotels Motels,Hotel",Santa Rosa,BEST WESTERN Garden Inn,15,CA,4,This is is fine old motor inn - old school with the parking lot in the middle. The rooms were big and clean and still had many of the old features - old tiles etc. The staff was friendly and helpful - it was inexpensive and a good place to stop for the night before going into San Francisco.,Old School Motor Inn,,,,,,,,,,,,,,
"Hotels,Budget Hotels,Lodging,Hotels Motels,Hotel",Santa Rosa,BEST WESTERN Garden Inn,15,CA,4,We stayed one night on our way to the Redwoods. They're doing renovations. They will have beautiful gardens outside each room. I thought it's going to be lovely. My husband and grandson had a hard time with the renovations going on. Each room has a private patio looking at the gardens. The room was clean and comfortable. I'd like to... More,Work in Progress,,,,,,,,,,,,,,
